"NO    ","Date      ","Time      ","  T1  ","T1 Type","  T2  ","T2 Type","  T3  ","T3 Type","  T4  ","T4 Type","T1-T2 ","T3-T4 ","Unit"
"======","==========","==========","======","=======","======","=======","======","=======","======","=======","======","======","===="
"0001  ","6/2/2017  ","16:03:37  ","-39.3 ","K      ","-34.6 ","K      ","16.9  ","K      ","21.8  ","K      ","-4.7  ","-4.9  ","°C  "
"0002  ","6/2/2017  ","16:03:38  ","-39.2 ","K      ","-34.6 ","K      ","16.8  ","K      ","21.8  ","K      ","-4.6  ","-5.0  ","°C  "
"0003  ","6/2/2017  ","16:03:39  ","-39.2 ","K      ","-34.6 ","K      ","16.8  ","K      ","21.8  ","K      ","-4.6  ","-5.0  ","°C  "
"0004  ","6/2/2017  ","16:03:40  ","-39.2 ","K      ","-34.6 ","K      ","16.8  ","K      ","21.8  ","K      ","-4.6  ","-5.0  ","°C  "
"0005  ","6/2/2017  ","16:03:41  ","-39.2 ","K      ","-34.6 ","K      ","16.8  ","K      ","21.8  ","K      ","-4.6  ","-5.0  ","°C  "
"0006  ","6/2/2017  ","16:03:42  ","-39.2 ","K      ","-34.6 ","K      ","16.8  ","K      ","21.8  ","K      ","-4.6  ","-5.0  ","°C  "
"0007  ","6/2/2017  ","16:03:43  ","-39.2 ","K      ","-34.6 ","K      ","16.8  ","K      ","21.8  ","K      ","-4.6  ","-5.0  ","°C  "
"0008  ","6/2/2017  ","16:03:44  ","-39.2 ","K      ","-34.6 ","K      ","16.7  ","K      ","21.8  ","K      ","-4.6  ","-5.1  ","°C  "
"0009  ","6/2/2017  ","16:03:45  ","-39.2 ","K      ","-34.6 ","K      ","16.6  ","K      ","21.8  ","K      ","-4.6  ","-5.2  ","°C  "
"0010  ","6/2/2017  ","16:03:46  ","-39.2 ","K      ","-34.6 ","K      ","16.5  ","K      ","21.8  ","K      ","-4.6  ","-5.3  ","°C  "
"0011  ","6/2/2017  ","16:03:47  ","-39.2 ","K      ","-34.6 ","K      ","16.6  ","K      ","21.8  ","K      ","-4.6  ","-5.2  ","°C  "
"0012  ","6/2/2017  ","16:03:48  ","-39.2 ","K      ","-34.6 ","K      ","16.7  ","K      ","21.8  ","K      ","-4.6  ","-5.1  ","°C  "
"0013  ","6/2/2017  ","16:03:49  ","-39.2 ","K      ","-34.6 ","K      ","16.8  ","K      ","21.8  ","K      ","-4.6  ","-5.0  ","°C  "
"0014  ","6/2/2017  ","16:03:50  ","-39.2 ","K      ","-34.6 ","K      ","17.0  ","K      ","21.8  ","K      ","-4.6  ","-4.8  ","°C  "
"0015  ","6/2/2017  ","16:03:51  ","-39.2 ","K      ","-34.6 ","K      ","17.1  ","K      ","21.8  ","K      ","-4.6  ","-4.7  ","°C  "
"0016  ","6/2/2017  ","16:03:52  ","-39.2 ","K      ","-34.6 ","K      ","17.1  ","K      ","21.8  ","K      ","-4.6  ","-4.7  ","°C  "
"0017  ","6/2/2017  ","16:03:53  ","-39.3 ","K      ","-34.6 ","K      ","16.9  ","K      ","21.8  ","K      ","-4.7  ","-4.9  ","°C  "
"0018  ","6/2/2017  ","16:03:54  ","-39.2 ","K      ","-34.6 ","K      ","16.9  ","K      ","21.8  ","K      ","-4.6  ","-4.9  ","°C  "
"0019  ","6/2/2017  ","16:03:55  ","-39.3 ","K      ","-34.6 ","K      ","16.9  ","K      ","21.8  ","K      ","-4.7  ","-4.9  ","°C  "
"0020  ","6/2/2017  ","16:03:56  ","-39.3 ","K      ","-34.6 ","K      ","16.9  ","K      ","21.8  ","K      ","-4.7  ","-4.9  ","°C  "
"0021  ","6/2/2017  ","16:03:57  ","-39.3 ","K      ","-34.6 ","K      ","16.9  ","K      ","21.8  ","K      ","-4.7  ","-4.9  ","°C  "
